,word,value
799,denied,-2
800,denier,-2
801,deniers,-2
802,denies,-2
803,denounce,-2
804,denounces,-2
805,dent,-2
806,deny,-2
807,denying,-2
808,deplore,-3
809,deplored,-3
810,deplores,-3
811,deploring,-3
812,deport,-2
813,deported,-2
814,deporting,-2
815,deports,-2
816,deportation,-2
817,deportations,-2
818,depressed,-2
819,depressing,-2
820,deprivation,-3
821,derail,-2
822,derailed,-2
823,derails,-2
824,derelict,-2
825,deride,-2
826,derided,-2
827,derides,-2
828,deriding,-2
829,derision,-2
830,desirable,2
831,desire,1
832,desired,2
833,desirous,2
834,despair,-3
835,despairing,-3
836,despairs,-3
837,desperate,-3
838,desperately,-3
839,despondent,-3
840,destroy,-3
841,destroyed,-3
842,destroying,-3
843,destroys,-3
844,destruction,-3
845,destructive,-3
846,detached,-1
847,detain,-2
848,detained,-2
849,detention,-2
850,deteriorate,-2
851,deteriorated,-2
852,deteriorates,-2
853,deteriorating,-2
854,determined,2
855,deterrent,-2
856,detract,-1
857,detracted,-1
858,detracts,-1
859,devastate,-2
860,devastated,-2
861,devastating,-2
862,devastation,-2
863,devastations,-2
864,devoted,3
865,devotion,2
866,devotional,2
867,diamond,1
868,dick,-4
869,dickhead,-4
870,die,-3
871,died,-3
872,difficult,-1
873,diffident,-2
874,dignity,2
875,dilemma,-1
876,dilligence,2
877,dipshit,-3
878,dire,-3
879,direful,-3
880,dirt,-2
881,dirtier,-2
882,dirtiest,-2
883,dirty,-2
884,disabilities,-2
885,disability,-2
886,disabling,-1
887,disadvantage,-2
888,disadvantaged,-2
889,disagree,-2
890,disagreeable,-2
891,disagreement,-2
892,disappear,-1
893,disappeared,-1
894,disappears,-1
895,disappoint,-2
896,disappointed,-2
897,disappointing,-2
898,disappointment,-2
899,disappointments,-2
900,disappoints,-2
901,disapproval,-2
902,disapprovals,-2
903,disapprove,-2
904,disapproved,-2
905,disapproves,-2
906,disapproving,-2
907,disaster,-2
908,disasters,-2
909,disastrous,-3
910,disbelieve,-2
911,discard,-1
912,discarded,-1
913,discarding,-1
914,discards,-1
915,discernment,2
916,discomfort,-2
917,disconsolate,-2
918,disconsolation,-2
919,discontented,-2
920,discord,-2
921,discounted,-1
922,discouraged,-2
923,discredited,-2
924,discriminate,-2
925,discriminated,-2
926,discriminates,-2
927,discriminating,-2
928,discriminatory,-2
929,disdain,-2
930,disease,-1
931,diseases,-1
932,disgrace,-2
933,disgraced,-2
934,disguise,-1
935,disguised,-1
936,disguises,-1
937,disguising,-1
938,disgust,-3
939,disgusted,-3
940,disgustful,-3
941,disgusting,-3
942,disheartened,-2
943,dishonest,-2
944,disillusioned,-2
945,disinclined,-2
946,disjointed,-2
947,dislike,-2
948,disliked,-2
949,dislikes,-2
950,dismal,-2
951,dismayed,-2
952,dismissed,-2
953,disorder,-2
954,disorders,-2
955,disorganized,-2
956,disoriented,-2
957,disparage,-2
958,disparaged,-2
959,disparages,-2
960,disparaging,-2
961,displeased,-2
962,displeasure,-2
963,disproportionate,-2
964,dispute,-2
965,disputed,-2
966,disputes,-2
967,disputing,-2
968,disqualified,-2
969,disquiet,-2
970,disregard,-2
971,disregarded,-2
972,disregarding,-2
973,disregards,-2
974,disrespect,-2
975,disrespected,-2
976,disrupt,-2
977,disrupted,-2
978,disrupting,-2
979,disruption,-2
980,disruptions,-2
981,disruptive,-2
982,disrupts,-2
983,dissatisfied,-2
984,distasteful,-2
985,distinguished,2
986,distort,-2
987,distorted,-2
988,distorting,-2
989,distorts,-2
990,distract,-2
991,distracted,-2
992,distraction,-2
993,distracts,-2
994,distress,-2
995,distressed,-2
996,distresses,-2
997,distressing,-2
998,distrust,-3
999,distrustful,-3
1000,disturb,-2
1001,disturbed,-2
1002,disturbing,-2
1003,disturbs,-2
1004,dithering,-2
1005,diverting,-1
1006,dizzy,-1
1007,dodging,-2
1008,dodgy,-2
1009,does not work,-3
1010,dolorous,-2
1011,donate,2
1012,donated,2
1013,donates,2
1014,donating,2
1015,donation,2
1016,dont like,-2
1017,doom,-2
1018,doomed,-2
1019,doubt,-1
1020,doubted,-1
1021,doubtful,-1
1022,doubting,-1
1023,doubts,-1
1024,douche,-3
1025,douchebag,-3
1026,dour,-2
1027,downcast,-2
1028,downer,-2
1029,downhearted,-2
1030,downside,-2
1031,drag,-1
1032,dragged,-1
1033,drags,-1
1034,drained,-2
1035,dread,-2
1036,dreaded,-2
1037,dreadful,-3
1038,dreading,-2
1039,dream,1
1040,dreams,1
1041,dreary,-2
1042,droopy,-2
1043,drop,-1
1044,dropped,-1
1045,drown,-2
1046,drowned,-2
1047,drowns,-2
1048,drudgery,-2
1049,drunk,-2
1050,dubious,-2
1051,dud,-2
1052,dull,-2
1053,dumb,-3
1054,dumbass,-3
1055,dump,-1
1056,dumped,-2
1057,dumps,-1
1058,dupe,-2
1059,duped,-2
1060,dupery,-2
1061,durable,2
1062,dying,-3
1063,dysfunction,-2
1064,eager,2
1065,earnest,2
1066,ease,2
1067,easy,1
1068,ecstatic,4
1069,eerie,-2
1070,eery,-2
1071,effective,2
1072,effectively,2
1073,effectiveness,2
1074,effortlessly,2
1075,elated,3
1076,elation,3
1077,elegant,2
1078,elegantly,2
1079,embarrass,-2
1080,embarrassed,-2
1081,embarrasses,-2
1082,embarrassing,-2
1083,embarrassment,-2
1084,embezzlement,-3
1085,embittered,-2
1086,embrace,1
1087,emergency,-2
1088,empathetic,2
1089,empower,2
1090,empowerment,2
1091,emptiness,-1
1092,empty,-1
1093,enchanted,2
1094,encourage,2
1095,encouraged,2
1096,encouragement,2
1097,encourages,2
1098,encouraging,2
1099,endorse,2
1100,endorsed,2
1101,endorsement,2
1102,endorses,2
1103,enemies,-2
1104,enemy,-2
1105,energetic,2
1106,engage,1
1107,engages,1
1108,engrossed,1
1109,engrossing,3
1110,enjoy,2
1111,enjoyable,2
1112,enjoyed,2
1113,enjoying,2
1114,enjoys,2
1115,enlighten,2
1116,enlightened,2
1117,enlightening,2
1118,enlightens,2
1119,ennui,-2
1120,enrage,-2
1121,enraged,-2
1122,enrages,-2
1123,enraging,-2
1124,enrapture,3
1125,enslave,-2
1126,enslaved,-2
1127,enslaves,-2
1128,ensure,1
1129,ensuring,1
1130,enterprising,1
1131,entertaining,2
1132,enthral,3
1133,enthusiastic,3
1134,entitled,1
1135,entrusted,2
1136,envies,-1
1137,envious,-2
1138,environment-friendly,2
1139,envy,-1
1140,envying,-1
1141,erroneous,-2
1142,error,-2
1143,errors,-2
1144,escape,-1
1145,escapes,-1
1146,escaping,-1
1147,esteem,2
1148,esteemed,2
1149,ethical,2
1150,euphoria,3
1151,euphoric,4
1152,evacuate,-1
1153,evacuated,-1
1154,evacuates,-1
1155,evacuating,-1
1156,evacuation,-1
1157,evergreen,2
1158,evergreens,2
1159,evergreening,-3
1160,eviction,-1
1161,evil,-3
1162,exacerbate,-2
1163,exacerbated,-2
1164,exacerbates,-2
1165,exacerbating,-2
1166,exaggerate,-2
1167,exaggerated,-2
1168,exaggerates,-2
1169,exaggerating,-2
1170,exasparate,-2
1171,exasperated,-2
1172,exasperates,-2
1173,exasperating,-2
1174,excellence,3
1175,excellent,3
1176,excite,3
1177,excited,3
1178,excitement,3
1179,exciting,3
1180,exclude,-1
1181,excluded,-2
1182,exclusion,-1
1183,exclusive,2
1184,excruciatingly,-1
1185,excuse,-1
1186,exempt,-1
1187,exhausted,-2
1188,exhilarated,3
1189,exhilarates,3
1190,exhilarating,3
1191,exonerate,2
1192,exonerated,2
1193,exonerates,2
1194,exonerating,2
1195,expand,1
1196,expands,1
1197,expel,-2
1198,expelled,-2
1199,expelling,-2
1200,expels,-2
1201,expertly,2
1202,exploit,-2
1203,exploited,-2
1204,exploiting,-2
1205,exploits,-2
1206,exploration,1
1207,explorations,1
1208,expose,-1
1209,exposed,-1
1210,exposes,-1
1211,exposing,-1
1212,exquisite,3
1213,extend,1
1214,extends,1
1215,extremist,-2
1216,extremists,-2
1217,exuberant,4
1218,exultant,3
1219,exultantly,3
1220,fabulous,4
1221,fabulously,4
1222,fad,-2
1223,fag,-3
1224,faggot,-3
1225,faggots,-3
1226,fail,-2
1227,failed,-2
1228,failing,-2
1229,fails,-2
1230,failure,-2
1231,failures,-2
1232,fainthearted,-2
1233,fair,2
1234,fairness,2
1235,faith,1
1236,faithful,3
1237,fake,-3
1238,faker,-3
1239,fakes,-3
1240,faking,-3
1241,fallen,-2
1242,falling,-1
1243,FALSE,-1
1244,falsely,-2
1245,falsified,-3
1246,falsify,-3
1247,fame,1
1248,famine,-2
1249,famous,2
1250,fan,3
1251,fantastic,4
1252,farce,-1
1253,fascinate,3
1254,fascinated,3
1255,fascinates,3
1256,fascinating,3
1257,fascination,3
1258,fascist,-2
1259,fascists,-2
1260,fatal,-3
1261,fatalities,-3
1262,fatality,-3
1263,fatigue,-2
1264,fatigued,-2
1265,fatigues,-2
1266,fatiguing,-2
1267,favor,2
1268,favorable,2
1269,favorably,2
1270,favored,2
1271,favorite,2
1272,favorited,2
1273,favorites,2
1274,favors,2
1275,favour,2
1276,favourable,2
1277,favourably,2
1278,favoured,2
1279,favourite,2
1280,favourited,2
1281,favourites,2
1282,favours,2
1283,fear,-2
1284,fearful,-2
1285,fearfully,-2
1286,fearing,-2
1287,fearless,2
1288,fearlessness,2
1289,fearsome,-2
1290,fed up,-3
1291,feeble,-2
1292,feeling,1
1293,felonies,-3
1294,felony,-3
1295,fertile,2
1296,fervent,2
1297,fervid,2
1298,festive,2
1299,fever,-2
1300,fiasco,-3
1301,fidgety,-2
1302,fight,-1
1303,fighting,-2
1304,fine,2
1305,fines,-2
1306,finest,3
1307,fire,-2
1308,fired,-2
1309,firing,-2
1310,fit,1
1311,fitness,1
1312,filth,-2
1313,filthy,-2
1314,flagship,2
1315,flaw,-2
1316,flawed,-3
1317,flawless,2
1318,flawlessly,2
1319,flaws,-2
1320,flees,-1
1321,flop,-2
1322,flops,-2
1323,flu,-2
1324,flustered,-2
1325,focused,2
1326,fond,2
1327,fondness,2
1328,fool,-2
1329,foolish,-2
1330,fools,-2
1331,forbid,-1
1332,forbidden,-2
1333,forbidding,-2
1334,forced,-1
1335,foreclosure,-2
1336,foreclosures,-2
1337,forefront,1
1338,forget,-1
1339,forgetful,-2
1340,forgettable,-1
1341,forgive,1
1342,forgiving,1
1343,forgot,-1
